Date,Last,diff_24h,diff_per_24h,Open,High,Low,Close,Volume
2019/1/4,3836.74 ,20.98,0.546818393,3832.04,3865.93,3783.85,3857.72,4847965467
2019/1/5,3857.72 ,-12.53,-0.324803252,3851.97,3904.9,3836.9,3845.19,5137609824
2019/1/6,3845.19 ,231.44,6.018948348,3836.52,4093.3,3826.51,4076.63,5597027440
2019/1/7,4076.63 ,-51.38,-1.260354754,4078.59,4092.61,4020.89,4025.25,5228625637
2019/1/8,4025.25 ,5.6,0.139121794,4028.47,4109.02,3996.96,4030.85,5306593305
2019/1/9,4030.85 ,4.45,0.110398551,4031.55,4068.4,4022.66,4035.3,5115905225
2019/1/10,4035.30 ,-356.38,-8.83156147,4034.41,4064.07,3659.17,3678.92,6874143796
2019/1/11,3678.92 ,8.45,0.229686973,3674.02,3713.88,3653.07,3687.37,5538712865
2019/1/12,3687.37 ,-26.07,-0.707007976,3686.97,3698.98,3653.81,3661.3,4778170883
2019/1/13,3661.30 ,-108.35,-2.959331385,3658.87,3674.76,3544.93,3552.95,4681302466
2019/1/14,3552.95 ,153.1,4.309095259,3557.31,3727.84,3552.29,3706.05,5651384490
2019/1/15,3706.05 ,-75.37,-2.03370165,3704.22,3720.15,3619.95,3630.68,5537192302
2019/1/16,3630.68 ,24.33,0.670122401,3631.51,3685.78,3624.67,3655.01,5394457145
2019/1/17,3655.01 ,23.55,0.644321083,3651.87,3680.14,3621.96,3678.56,5464420383
2019/1/18,3678.56 ,-20.72,-0.563263886,3677.99,3682.52,3637.08,3657.84,5002961727
2019/1/19,3657.84 ,70.73,1.933654835,3652.38,3758.53,3652.38,3728.57,5955691380
2019/1/20,3728.57 ,-127.56,-3.421150736,3725.45,3743.39,3583.02,3601.01,5582489560
2019/1/21,3601.01 ,-24.98,-0.693694269,3600.37,3608.84,3558.54,3576.03,5004347059
2019/1/22,3576.03 ,28.55,0.798371378,3575.08,3620.75,3539.72,3604.58,5313623556
2019/1/23,3604.58 ,-19.46,-0.539868723,3605.56,3623.07,3565.31,3585.12,5433755649
2019/1/24,3585.12 ,15.75,0.439315839,3584.5,3616.09,3569.09,3600.87,5262869046
2019/1/25,3600.87 ,-1.1,-0.030548173,3607.39,3612.93,3575.6,3599.77,5265847539
